지점,지점명,일시,기온(°C),강수량(mm)
116,관악(레),2023-10-01 01:00,13.5,0
116,관악(레),2023-10-01 02:00,13.5,0
116,관악(레),2023-10-01 03:00,13.2,0
116,관악(레),2023-10-01 04:00,13,0
116,관악(레),2023-10-01 05:00,12.8,0
116,관악(레),2023-10-01 06:00,11.6,0
116,관악(레),2023-10-01 07:00,11.2,0
116,관악(레),2023-10-01 08:00,11.4,0
116,관악(레),2023-10-01 09:00,12.3,0
116,관악(레),2023-10-01 10:00,13.7,0
116,관악(레),2023-10-01 11:00,15.4,0
116,관악(레),2023-10-01 12:00,16.5,0
116,관악(레),2023-10-01 13:00,16.1,0
116,관악(레),2023-10-01 14:00,17.8,0
116,관악(레),2023-10-01 15:00,17.6,0
116,관악(레),2023-10-01 16:00,17.5,0
116,관악(레),2023-10-01 17:00,17,0
116,관악(레),2023-10-01 18:00,16,0
116,관악(레),2023-10-01 19:00,15.8,0
116,관악(레),2023-10-01 20:00,15.9,0
116,관악(레),2023-10-01 21:00,15.5,0
116,관악(레),2023-10-01 22:00,14.9,0
116,관악(레),2023-10-01 23:00,14.3,0
116,관악(레),2023-10-02 00:00,13.5,0
116,관악(레),2023-10-02 01:00,13.2,0
116,관악(레),2023-10-02 02:00,13.5,0
116,관악(레),2023-10-02 03:00,13.8,0
116,관악(레),2023-10-02 04:00,13.7,0
116,관악(레),2023-10-02 05:00,13.5,0
116,관악(레),2023-10-02 06:00,13.4,0
116,관악(레),2023-10-02 07:00,13.3,0
116,관악(레),2023-10-02 08:00,14.3,0
116,관악(레),2023-10-02 09:00,15.5,0
116,관악(레),2023-10-02 10:00,15.9,0
116,관악(레),2023-10-02 11:00,17.3,0
116,관악(레),2023-10-02 12:00,17.6,0
116,관악(레),2023-10-02 13:00,18,0
116,관악(레),2023-10-02 14:00,18.2,0
116,관악(레),2023-10-02 15:00,19.7,0
116,관악(레),2023-10-02 16:00,19.2,0
116,관악(레),2023-10-02 17:00,17.6,0
116,관악(레),2023-10-02 18:00,16.8,0
116,관악(레),2023-10-02 19:00,16.5,0
116,관악(레),2023-10-02 20:00,16.1,0
116,관악(레),2023-10-02 21:00,16.1,0
116,관악(레),2023-10-02 22:00,15.8,0
116,관악(레),2023-10-02 23:00,15.7,0
116,관악(레),2023-10-03 00:00,15.2,0
116,관악(레),2023-10-03 01:00,14.9,0
116,관악(레),2023-10-03 02:00,15.7,0
116,관악(레),2023-10-03 03:00,15.1,0
116,관악(레),2023-10-03 04:00,14.7,0
116,관악(레),2023-10-03 05:00,13.9,0
116,관악(레),2023-10-03 06:00,13.5,0
116,관악(레),2023-10-03 07:00,13.4,0
116,관악(레),2023-10-03 08:00,14.4,0
116,관악(레),2023-10-03 09:00,14,0
116,관악(레),2023-10-03 10:00,14.3,0
116,관악(레),2023-10-03 11:00,14.7,0
116,관악(레),2023-10-03 12:00,14,0
116,관악(레),2023-10-03 13:00,14.7,0
116,관악(레),2023-10-03 14:00,17.1,0
116,관악(레),2023-10-03 15:00,17.8,0
116,관악(레),2023-10-03 16:00,17.1,0
116,관악(레),2023-10-03 17:00,18.8,0
116,관악(레),2023-10-03 18:00,16.5,0
116,관악(레),2023-10-03 19:00,15.7,0
116,관악(레),2023-10-03 20:00,15.6,0
116,관악(레),2023-10-03 21:00,15.4,0
116,관악(레),2023-10-03 22:00,15.3,0
116,관악(레),2023-10-03 23:00,15,0
116,관악(레),2023-10-04 00:00,15.1,0
116,관악(레),2023-10-04 01:00,14.9,0
116,관악(레),2023-10-04 02:00,15,0
116,관악(레),2023-10-04 03:00,14.9,0
116,관악(레),2023-10-04 04:00,14.7,0
116,관악(레),2023-10-04 05:00,14.5,0
116,관악(레),2023-10-04 06:00,14.2,0
116,관악(레),2023-10-04 07:00,14.1,0
116,관악(레),2023-10-04 08:00,14.6,0
116,관악(레),2023-10-04 09:00,16.2,0
116,관악(레),2023-10-04 10:00,16.7,0
116,관악(레),2023-10-04 11:00,17.4,0
116,관악(레),2023-10-04 12:00,17.7,0
116,관악(레),2023-10-04 13:00,18.6,0
116,관악(레),2023-10-04 14:00,17.9,0
116,관악(레),2023-10-04 15:00,17.1,0
116,관악(레),2023-10-04 16:00,16.6,0
116,관악(레),2023-10-04 17:00,14.2,2
116,관악(레),2023-10-04 18:00,14.5,3
116,관악(레),2023-10-04 19:00,14.6,9
116,관악(레),2023-10-04 20:00,13.8,0
116,관악(레),2023-10-04 21:00,13.2,0
116,관악(레),2023-10-04 22:00,12.4,0
116,관악(레),2023-10-04 23:00,11.9,0
116,관악(레),2023-10-05 00:00,11,0
116,관악(레),2023-10-05 01:00,10.6,0
116,관악(레),2023-10-05 02:00,10.1,0
116,관악(레),2023-10-05 03:00,9.3,0
116,관악(레),2023-10-05 04:00,8.9,0
116,관악(레),2023-10-05 05:00,8.2,0
116,관악(레),2023-10-05 06:00,7.6,0
116,관악(레),2023-10-05 07:00,7.3,0
116,관악(레),2023-10-05 08:00,7.5,0
116,관악(레),2023-10-05 09:00,8.3,0
116,관악(레),2023-10-05 10:00,9.4,0
116,관악(레),2023-10-05 11:00,10.3,0
116,관악(레),2023-10-05 12:00,11.1,0
116,관악(레),2023-10-05 13:00,11.8,0
116,관악(레),2023-10-05 14:00,12.7,0
116,관악(레),2023-10-05 15:00,13.8,0
116,관악(레),2023-10-05 16:00,13.6,0
116,관악(레),2023-10-05 17:00,13.1,0
116,관악(레),2023-10-05 18:00,11.7,0
116,관악(레),2023-10-05 19:00,11,0
116,관악(레),2023-10-05 20:00,10.6,0
116,관악(레),2023-10-05 21:00,10.1,0
116,관악(레),2023-10-05 22:00,9.7,0
116,관악(레),2023-10-05 23:00,9.5,0
116,관악(레),2023-10-06 00:00,9.6,0
116,관악(레),2023-10-06 01:00,10,0
116,관악(레),2023-10-06 02:00,9.6,0
116,관악(레),2023-10-06 03:00,9.3,0
116,관악(레),2023-10-06 04:00,9,0
116,관악(레),2023-10-06 05:00,8.9,0
116,관악(레),2023-10-06 06:00,9.1,0
116,관악(레),2023-10-06 07:00,8.9,0
116,관악(레),2023-10-06 08:00,9.8,0
116,관악(레),2023-10-06 09:00,10.6,0
116,관악(레),2023-10-06 10:00,10.2,0
116,관악(레),2023-10-06 11:00,13.4,0
