stn_id,remain_bicycle,sum,nearby_id,borrowed_num_nearby,강수량(mm),wind_chill,borrowed_hour,borrowed_day,borrowed_date,is_holiday
ST-10,5,3,ST-2167,2.0,0,4.355111336027708,17,7,20231203,1
ST-1000,10,4,ST-2014,4.0,0,5.176455566970587,17,7,20231203,1
ST-1003,6,3,ST-2794,1.0,0,3.3795190499292938,17,7,20231203,1
ST-1004,4,3,ST-1498,2.0,0,3.3795190499292938,17,7,20231203,1
ST-1006,16,3,ST-997,3.0,0,5.176455566970587,17,7,20231203,1
ST-1007,10,2,ST-1500,1.0,0,3.3795190499292938,17,7,20231203,1
ST-1008,3,2,ST-996,1.0,0,5.176455566970587,17,7,20231203,1
ST-1012,16,1,ST-2769,2.0,0,3.3795190499292938,17,7,20231203,1
ST-1013,1,2,ST-528,3.0,0,5.176455566970587,17,7,20231203,1
ST-1014,20,4,ST-317,1.0,0,5.176455566970587,17,7,20231203,1
ST-1015,3,3,ST-1736,1.0,0,5.176455566970587,17,7,20231203,1
ST-1016,2,2,ST-2770,2.0,0,3.3795190499292938,17,7,20231203,1
ST-1017,25,6,ST-1018,4.0,0,5.176455566970587,17,7,20231203,1
ST-1018,10,4,ST-2039,1.0,0,5.176455566970587,17,7,20231203,1
ST-1019,38,3,ST-1002,5.0,0,5.176455566970587,17,7,20231203,1
ST-102,6,3,ST-2314,2.0,0,5.920041358043738,17,7,20231203,1
ST-1020,9,1,ST-2252,2.0,0,3.2548488570130867,17,7,20231203,1
ST-1023,5,1,ST-2244,2.0,0,3.462259900712974,17,7,20231203,1
ST-1024,17,1,ST-450,2.0,0,3.462259900712974,17,7,20231203,1
ST-1027,0,1,ST-2241,2.0,0,3.462259900712974,17,7,20231203,1
ST-1028,3,1,ST-1489,1.0,0,3.462259900712974,17,7,20231203,1
ST-1029,14,3,ST-1025,2.0,0,3.2548488570130867,17,7,20231203,1
ST-1031,0,1,ST-2781,1.0,0,3.462259900712974,17,7,20231203,1
ST-1032,0,1,ST-1484,2.0,0,3.462259900712974,17,7,20231203,1
ST-1033,2,1,ST-2783,1.0,0,3.462259900712974,17,7,20231203,1
ST-1034,5,1,ST-350,4.0,0,3.3795190499292938,17,7,20231203,1
ST-1036,10,3,ST-480,4.0,0,3.462259900712974,17,7,20231203,1
ST-1038,0,2,ST-471,2.0,0,3.462259900712974,17,7,20231203,1
ST-1039,0,1,ST-2242,2.0,0,3.462259900712974,17,7,20231203,1
ST-1040,35,2,ST-1042,2.0,0,5.161062052147818,17,7,20231203,1
ST-1041,16,3,ST-1047,2.0,0,5.920041358043738,17,7,20231203,1
ST-1042,22,2,ST-1040,2.0,0,5.161062052147818,17,7,20231203,1
ST-1044,23,3,ST-501,5.0,0,5.161062052147818,17,7,20231203,1
ST-1045,3,2,ST-1092,2.0,0,5.920041358043738,17,7,20231203,1
ST-1046,1,5,ST-493,5.0,0,5.920041358043738,17,7,20231203,1
ST-1047,15,2,ST-1041,3.0,0,5.920041358043738,17,7,20231203,1
ST-1048,11,1,ST-488,4.0,0,5.920041358043738,17,7,20231203,1
ST-105,15,1,ST-368,3.0,0,4.657721484460929,17,7,20231203,1
ST-1050,1,2,ST-2737,2.0,0,3.8877999999999995,17,7,20231203,1
ST-1051,10,2,ST-2862,2.0,0,3.8877999999999995,17,7,20231203,1
ST-1054,10,4,ST-1597,2.0,0,3.8877999999999995,17,7,20231203,1
ST-1055,5,2,ST-1059,2.0,0,3.8877999999999995,17,7,20231203,1
ST-1056,6,1,ST-1595,1.0,0,3.8877999999999995,17,7,20231203,1
ST-1058,2,1,ST-2862,2.0,0,3.8877999999999995,17,7,20231203,1
ST-1059,12,2,ST-1055,2.0,0,3.8877999999999995,17,7,20231203,1
ST-1061,23,5,ST-2751,2.0,0,5.161062052147818,17,7,20231203,1
ST-1062,10,3,ST-511,3.0,0,3.3795190499292938,17,7,20231203,1
ST-1063,59,2,ST-2871,3.0,0,3.3795190499292938,17,7,20231203,1
ST-1064,44,4,ST-2993,2.0,0,3.3795190499292938,17,7,20231203,1
ST-1065,61,3,ST-2538,3.0,0,3.3795190499292938,17,7,20231203,1
ST-1069,25,3,ST-2029,4.0,0,5.176455566970587,17,7,20231203,1
ST-107,6,1,ST-2334,2.0,0,4.657721484460929,17,7,20231203,1
ST-1072,3,1,ST-740,3.0,0,5.326435435722722,17,7,20231203,1
ST-1075,2,1,ST-2587,3.0,0,5.326435435722722,17,7,20231203,1
ST-1076,11,3,ST-2591,1.0,0,5.326435435722722,17,7,20231203,1
ST-1077,0,1,ST-2587,3.0,0,5.326435435722722,17,7,20231203,1
ST-1078,10,5,ST-892,4.0,0,5.326435435722722,17,7,20231203,1
ST-1079,2,4,ST-2577,1.0,0,5.326435435722722,17,7,20231203,1
ST-108,2,2,ST-2341,3.0,0,4.657721484460929,17,7,20231203,1
ST-1081,1,4,ST-1070,3.0,0,5.326435435722722,17,7,20231203,1
ST-1082,21,3,ST-1871,2.0,0,5.326435435722722,17,7,20231203,1
ST-1084,10,2,ST-2589,2.0,0,5.326435435722722,17,7,20231203,1
ST-1085,0,2,ST-900,2.0,0,5.326435435722722,17,7,20231203,1
ST-1086,0,3,ST-908,2.0,0,5.920041358043738,17,7,20231203,1
ST-1087,0,1,ST-2797,4.0,0,5.920041358043738,17,7,20231203,1
ST-1088,2,4,ST-551,2.0,0,5.920041358043738,17,7,20231203,1
